DATAFLOW,LAST UPDATE,freq,unit,animals,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,DK,2004,735,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,DK,2005,528,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,DK,2006,326,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,DK,2008,778,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,DK,2009,2191,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,DK,2010,170,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,DK,2011,189,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EE,2005,737,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EE,2006,1350,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EE,2007,1410,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EE,2008,1543,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EE,2009,1754,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EE,2010,1676,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EE,2011,1810,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EL,2002,4,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EL,2003,45,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EL,2004,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EL,2008,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EL,2009,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EL,2010,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,EL,2011,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,ES,2008,1700,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,ES,2009,3351,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,ES,2010,2962,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,ES,2011,2944,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2000,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2001,2,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2002,8,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2003,11,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2004,13,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2005,24,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2006,36,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2007,24,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2008,28,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2009,25,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2010,19,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,FI,2011,18,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,HR,2009,484,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,HR,2010,452,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A1000,HR,2011,920,
